startup_name,industry,sub_industry,city,investors,funding_round,funding_amount_usd,date,data_source,year,was_url
Visit,Healthcare,AI Driven Health tech Platform,Delhi,"Biz Stone, Kunal Bahl, Rohit Bansal, Alagu Periyannan and Karthee Madasamy",Private Equity,,2018-04-22,2000_2023,2018.0,False
Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed / Angel Funding,1900000.0,2018-04-22,2000_2023,2018.0,False
Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,11000000.0,2018-04-22,2000_2023,2018.0,False
Mihuru,Finance,Online Platform Providing Micro Loans For Air Travel,Mumbai,,Seed / Angel Funding,150000.0,2018-04-23,2000_2023,2018.0,False
Capital Float,Finance,Online Lending Platform,Bengaluru,Amazon,Private Equity,22000000.0,2018-04-23,2000_2023,2018.0,False
Trip Shelf,Consumer Internet,Online Travel Marketplace,Delhi,"GEMS Advisory, Alok Mittal and Sachin Bhatia",Seed / Angel Funding,246000.0,2018-04-25,2000_2023,2018.0,False
Popxo,Technology,Women Focussed Digital Media Platform,Delhi,"Neoplux, OPPO, IDG Ventures India, Kalaari Capital, GREE Ventures and Summit Media",Private Equity,5500000.0,2018-04-26,2000_2023,2018.0,False
Railyatri,Consumer Internet,Online Travel Ticketing Platform,Noida,"Omidyar Network, Nandan Nilekani, Blume Ventures, Helion Venture Partners",Private Equity,,2018-04-26,2000_2023,2018.0,False
1Mg,Consumer Internet,Online Pharmacy Store,Gurugram,"Sequoia Capital, Maverick Capital Ltd and HBM Healthcare Investments Ltd",Private Equity,10000000.0,2018-04-27,2000_2023,2018.0,False
Rubique,Consumer Internet,Online Lending MarketPlace,Mumbai,"Emery Capital, Blacksoil and Kalaari Capital",Private Equity,,2018-04-29,2000_2023,2018.0,False
Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,7500000.0,2018-04-30,2000_2023,2018.0,False
Myloancare,Finance,B2C Online Loans Marketplace,Gurgaon,SAR Group,Seed / Angel Funding,978000.0,2018-04-30,2000_2023,2018.0,False
Pharmeasy,Consumer Internet,Online Pharmacy Store,Mumbai,"Bessemer Venture Partners and Orios Venture Partners, JM Financials and MEMG",Private Equity,,2018-03-01,2000_2023,2018.0,False
Buddy4Studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,3000000.0,2018-03-01,2000_2023,2018.0,False
Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,12000000.0,2018-03-01,2000_2023,2018.0,False
Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,250000.0,2018-03-03,2000_2023,2018.0,False
Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,1000000.0,2018-03-04,2000_2023,2018.0,False
Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,2100000.0,2018-03-05,2000_2023,2018.0,False
Medgenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,10000000.0,2018-03-05,2000_2023,2018.0,False
Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,6000000.0,2018-03-05,2000_2023,2018.0,False
Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,5000000.0,2018-03-05,2000_2023,2018.0,False
Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,1100000.0,2018-03-04,2000_2023,2018.0,False
Ad2Pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,9700000.0,2018-03-06,2000_2023,2018.0,False
Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,7600000.0,2018-03-06,2000_2023,2018.0,False
Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,38400000.0,2018-03-08,2000_2023,2018.0,False
Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,1000000.0,2018-03-08,2000_2023,2018.0,False
Healthcare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Funding,1000000.0,2018-03-12,2000_2023,2018.0,False
Pinelabs,Technology,Digital Payment Platform,Mumbai,"Actis, Altimeter Capital",Private Equity,82000000.0,2018-03-13,2000_2023,2018.0,False
Stumagz,Consumer Internet,Online Communication and Collaboration Platform For Educational Institutions,Hyderabad,"Venkat Subramanian, Sudhakar Pennam, and other tech investors from Silicon Valley",Seed / Angel Funding,,2018-03-14,2000_2023,2018.0,False
Availfinance,Consumer Internet,Online Lending Platform,Bengaluru,"Matrix Partners, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Kunal Shah and Manish Patel.",Private Equity,17200000.0,2018-03-14,2000_2023,2018.0,False
Grofers,Consumer Internet,Online Grocery Shop,Gurugram,"SoftBank, Tiger Global and Apoletto Managers.",Private Equity,62000000.0,2018-03-15,2000_2023,2018.0,False
Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,1310000.0,2018-03-19,2000_2023,2018.0,False
Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,"1Crowd, Ankur Capital",Seed / Angel Funding,500000.0,2018-03-19,2000_2023,2018.0,False
Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,"Amit Burman, SIDBI Venture Capital",Seed / Angel Funding,3000000.0,2018-03-19,2000_2023,2018.0,False
Customersucessbox,Technology,Customer Success Software for B2B SaaS,Gurugram,"Pi Ventures, Axilor Ventures",Seed / Angel Funding,1000000.0,2018-03-19,2000_2023,2018.0,False
One Labs,Consumer Internet,Consumer Technology and Artificial Intelligence Based Aggregator App,Unknown,Micromax Informatics Ltd,Private Equity,,2018-03-20,2000_2023,2018.0,False
Gigindia,Consumer Internet,Micro Jobs Provider For Students,Pune,"Jessica Wong, Hiro Mashita, Xue Manzi and Yiyun Zhang.",Seed / Angel Funding,,2018-03-21,2000_2023,2018.0,False
Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,"Insight Venture Partners, Accel Partners and Tiger Global Management.",Private Equity,18000000.0,2018-03-22,2000_2023,2018.0,False
I2I Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed / Angel Funding,768000.0,2018-03-22,2000_2023,2018.0,False
Slang Labs,Technology,Voice-based assistant platform,Bengaluru,Endiya Partners,Seed / Angel Funding,1240000.0,2018-03-22,2000_2023,2018.0,False
Urbanpiper,Technology,Online ordering solution for restaurants and food chains,Bengaluru,"Kumar Vembu, Axilor Ventures",Seed / Angel Funding,,2018-03-22,2000_2023,2018.0,False
Cash Suvidha,Consumer Internet,Online loan platform,Delhi,"Initia Holdings,Vipin Agarwal and others.",Seed / Angel Funding,1000000.0,2018-03-26,2000_2023,2018.0,False
Roadcast,Technology,Fleet management and asset monitoring platform,Delhi,,Private Equity,250000.0,2018-03-28,2000_2023,2018.0,False
Smartcoin,Finance,Micro lending company,Bengaluru,"Accion Venture Lab, Unicorn India Ventures and ISME ACE.",Seed / Angel Funding,2000000.0,2018-03-28,2000_2023,2018.0,False
The Print,Media,News portal,Delhi,Ratan Tata,Seed / Angel Funding,535000.0,2018-03-27,2000_2023,2018.0,False
Driveu,Technology,Professional Car Drivers Hiring App,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,3000000.0,2018-03-27,2000_2023,2018.0,False
Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,"Google, Kae Capital, IIFL, Singularity Ventures, GrowX, Tracxn Labs, Venture Catalyst, Patni family office and Axis Capital.",Seed / Angel Funding,,2018-03-29,2000_2023,2018.0,False
Bigbasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,300000000.0,2018-02-01,2000_2023,2018.0,False
Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,200000000.0,2018-02-01,2000_2023,2018.0,False
Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,4300000.0,2018-02-05,2000_2023,2018.0,False
Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,21000000.0,2018-02-05,2000_2023,2018.0,False
Collegedekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,2000000.0,2018-02-05,2000_2023,2018.0,False
Foodmemories,Consumer Internet,Online Food Marketplace,Ahemdabad,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others",Seed funding,,2018-02-06,2000_2023,2018.0,False
Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,3100000.0,2018-02-06,2000_2023,2018.0,False
Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,100000000.0,2018-02-07,2000_2023,2018.0,False
Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed / Angle Funding,100000000.0,2018-02-08,2000_2023,2018.0,False
Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,50000000.0,2018-02-08,2000_2023,2018.0,False
Healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,12000000.0,2018-02-09,2000_2023,2018.0,False
Medtel,Healthcare,Virtual health clinics,Bhubaneswar,British and Indian Governments,Private Equity,,2018-02-09,2000_2023,2018.0,False
Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,6830000.0,2018-02-09,2000_2023,2018.0,False
Webengage,Technology,Marketing Cloud for consumer businesses,Mumbai,Social Capital,Private Equity,,2018-02-09,2000_2023,2018.0,False
Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000.0,2018-02-12,2000_2023,2018.0,False
Wydr,Consumer Internet,B2B Marketplace,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,,2018-02-12,2000_2023,2018.0,False
Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,935089.0,2018-02-12,2000_2023,2018.0,False
Holachef,Food and Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,311200.0,2018-02-13,2000_2023,2018.0,False
Awaaz De,Technology,Mobile Solutions for Social Impact,Ahmedabad,Tribe Impact Capital LLP,Seed / Angle Funding,,2018-02-13,2000_2023,2018.0,False
Imax Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures",Private Equity,13500000.0,2018-02-13,2000_2023,2018.0,False
Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,3000000.0,2018-02-14,2000_2023,2018.0,False
Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,100000.0,2018-02-14,2000_2023,2018.0,False
Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,500000.0,2018-02-14,2000_2023,2018.0,False
Moneyonmobile,Technology,mobile payment platform,Mumbai,S7 Group,Private Equity,5000000.0,2018-02-14,2000_2023,2018.0,False
Petsutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,148434.0,2018-02-15,2000_2023,2018.0,False
Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,6230000.0,2018-02-15,2000_2023,2018.0,False
Happay,Finance,Expense Management,Bengaluru,Sequoia and Jerry Yang,Seed / Angel Funding,250000.0,2018-02-16,2000_2023,2018.0,False
Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,150000.0,2018-02-16,2000_2023,2018.0,False
Ayefinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, IntelleGrow",Private Equity,3800000.0,2018-02-19,2000_2023,2018.0,False
Agricxlab,Agriculture,Agri-tech,Mumbai,Ankur Capital,Seed / Angel Funding,500000.0,2018-02-20,2000_2023,2018.0,False
Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,50000000.0,2018-02-21,2000_2023,2018.0,False
Capillary,IT,SaaS,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,20000000.0,2018-02-21,2000_2023,2018.0,False
The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures",Private Equity,2100000.0,2018-02-21,2000_2023,2018.0,False
Highradius,Technology,Cloud-based Software,Hyderabad,"PNC, Citi Ventures",Private Equity,,2018-02-21,2000_2023,2018.0,False
Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,772500.0,2018-02-26,2000_2023,2018.0,False
Planys Technologies,Technology,Robotic InspectionStartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal",Private Equity,1040000.0,2018-02-26,2000_2023,2018.0,False
Lollypop,Technology,Digital Design,Bengaluru,Dr Devi Shetty,Seed / Angel Funding,,2018-02-27,2000_2023,2018.0,False
Trilyo,Technology,AI platform for hospitality industry,Mumbai,"Startup Buddy,Amit Manocha and others",Seed / Angel Funding,250000.0,2018-02-27,2000_2023,2018.0,False
Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,115000000.0,2018-02-28,2000_2023,2018.0,False
Credy,IT,SaaS,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others",Seed / Angel Funding,1400000.0,2018-02-28,2000_2023,2018.0,False
Predible Health,Healthcare,Cancer radiology,Bengaluru,Unitus Seed Fund,Seed/Angel Funding,,2018-02-28,2000_2023,2018.0,False
Clevertap,Technology,Mobile App Analytics,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,,2018-01-02,2000_2023,2018.0,False
Earlysalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,15700000.0,2018-01-04,2000_2023,2018.0,False
Wotu,E-commerce,Food and Beverages,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,,2018-01-05,2000_2023,2018.0,False
Daaki,E-commerce,Sports Nutrition Supplement etailer,Bengaluru,Rohan Agila,Angel / Seed Funding,,2018-01-08,2000_2023,2018.0,False
Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,4700000.0,2018-01-09,2000_2023,2018.0,False
Kinsane Entertainment Inc,Entertainment,Digital Entertainment for Children,Mumbai,,Seed/Angel Funding,2500000.0,2018-01-09,2000_2023,2018.0,False
Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,1930000.0,2018-01-10,2000_2023,2018.0,False
Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,18840000.0,2018-01-10,2000_2023,2018.0,False
Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,23500000.0,2018-01-10,2000_2023,2018.0,False
Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,36230000.0,2018-01-10,2000_2023,2018.0,False
Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,80000.0,2018-01-12,2000_2023,2018.0,False
Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,20000000.0,2018-01-12,2000_2023,2018.0,False
Streak,Technology,Algorithmic Trading,Bengaluru,"Indian fintech fund, Rainmatter",Angel / Seed Funding,354600.0,2018-01-15,2000_2023,2018.0,False
Pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund",Private Equity,25000000.0,2018-01-15,2000_2023,2018.0,False
Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,20000000.0,2018-01-15,2000_2023,2018.0,False
Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,1000000.0,2018-01-17,2000_2023,2018.0,False
Sharechat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,18200000.0,2018-01-18,2000_2023,2018.0,False
Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,400000.0,2018-01-22,2000_2023,2018.0,False
Hungerbox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,2500000.0,2018-01-22,2000_2023,2018.0,False
Skillate,Technology,Artificial Intellegence,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,,2018-01-22,2000_2023,2018.0,False
Optacredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,4000000.0,2018-01-22,2000_2023,2018.0,False
Aeon Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,3200000.0,2018-01-22,2000_2023,2018.0,False
Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,3000000.0,2018-01-23,2000_2023,2018.0,False
Neogrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,47000000.0,2018-01-24,2000_2023,2018.0,False
Rao Iit Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,8600000.0,2018-01-24,2000_2023,2018.0,False
Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,6240000.0,2018-01-24,2000_2023,2018.0,False
Glassic,Ecommerce,Eyewear,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,,2018-01-25,2000_2023,2018.0,False
Greyatom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,1000000.0,2018-01-25,2000_2023,2018.0,False
Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,RNT Capital,Private Equity,7400000.0,2018-01-26,2000_2023,2018.0,False
Ekincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,1500000.0,2018-01-29,2000_2023,2018.0,False
The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,1000000.0,2018-01-29,2000_2023,2018.0,False
Peesafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,1000000.0,2018-01-30,2000_2023,2018.0,False
Browserstack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,50000000.0,2018-01-30,2000_2023,2018.0,False
Scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,500000.0,2018-01-30,2000_2023,2018.0,False
Moneyonmobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,7600000.0,2018-01-30,2000_2023,2018.0,False
Curefit,Healthcare,Fitness,Bengaluru,"HDFC Bank, Axis Bank",Debt Funding,10000000.0,2018-01-30,2000_2023,2018.0,False
Inurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,4400000.0,2018-01-31,2000_2023,2018.0,False
Strata Enviro,Technology,IoT based air pollution controller,Mumbai,Scale Minds,Private Equity,,2017-12-01,2000_2023,2017.0,False
Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,12300000.0,2017-12-05,2000_2023,2017.0,False
Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,23000000.0,2017-12-05,2000_2023,2017.0,False
Handytrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,1000000.0,2017-12-05,2000_2023,2017.0,False
Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,500000.0,2017-12-05,2000_2023,2017.0,False
Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,60000000.0,2017-12-06,2000_2023,2017.0,False
Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,7000000.0,2017-12-06,2000_2023,2017.0,False
Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,10000000.0,2017-12-07,2000_2023,2017.0,False
The Label Life,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,3100000.0,2017-12-07,2000_2023,2017.0,False
Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,750000.0,2017-12-07,2000_2023,2017.0,False
Eshakti,Ecommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,IDG Ventures,Debt Funding,2300000.0,2017-12-07,2000_2023,2017.0,False
Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,5000000.0,2017-12-08,2000_2023,2017.0,False
Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,1500000.0,2017-12-11,2000_2023,2017.0,False
Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,50000.0,2017-12-11,2000_2023,2017.0,False
Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bengaluru,Village Capital,Seed/Angel Funding,50000.0,2017-12-11,2000_2023,2017.0,False
Furlenco,Technology,Furniture Rental Platform,Bengaluru,Aamir Khan,Debt Funding,1200000.0,2017-12-11,2000_2023,2017.0,False
I Can Stay,Technology,Hotel Aggregator Platform,Delhi,HT Media,Private Equity,1800000.0,2017-12-12,2000_2023,2017.0,False
Fracktal Works,Technology,Platform based on 3D printing and Digital Manufacturing,Bengaluru,Hyderabad Angels,Seed/Angel Funding,,2017-12-12,2000_2023,2017.0,False
Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,17500000.0,2017-12-12,2000_2023,2017.0,False
Shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/Angel Funding,233000.0,2017-12-12,2000_2023,2017.0,False
Mindtickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,27000000.0,2017-12-13,2000_2023,2017.0,False
Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,27000000.0,2017-12-13,2000_2023,2017.0,False
Docsapp,Technology,Mobile Application for Doctor Consultation,Bengaluru,Bessemer Venture Partners,Private Equity,7200000.0,2017-12-13,2000_2023,2017.0,False
Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,,2017-12-13,2000_2023,2017.0,False
Tea Box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bengaluru,RB Investments,Private Equity,7000000.0,2017-12-14,2000_2023,2017.0,False
Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,Matrix Partners,Private Equity,6000000.0,2017-12-14,2000_2023,2017.0,False
Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,250000.0,2017-12-14,2000_2023,2017.0,False
Homelane,E-Commerce,Online Furniture Marketplace,Bengaluru,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,10000000.0,2017-12-14,2000_2023,2017.0,False
Wedosky,Technology,Provides Business Insights using Drone Imaginary,Delhi,Mumbai Angels Network,Private Equity,,2017-12-14,2000_2023,2017.0,False
Purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,537000.0,2017-12-15,2000_2023,2017.0,False
Cash Suvidha,E-Commerce,Online Micro-Lending Platform,Delhi,,Debt Funding,2700000.0,2017-12-15,2000_2023,2017.0,False
Sky Met Weather,Technology,Weather Forecast Platform,Noida,InsuResillience Investment Fund,Private Equity,,2017-12-18,2000_2023,2017.0,False
Springboard,Technology,Online Courses and Mentoring from Experts,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,9500000.0,2017-12-19,2000_2023,2017.0,False
Peel Works,Technology,SaaS based Big Data Analytics Platform,Mumbai,Unilever Ventures,Private Equity,,2017-12-19,2000_2023,2017.0,False
9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,1500000.0,2017-12-19,2000_2023,2017.0,False
Your Quote,Technology,Vernacular and Video Content Platform,Bengaluru,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,1000000.0,2017-12-20,2000_2023,2017.0,False
Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,19500000.0,2017-12-20,2000_2023,2017.0,False
Indus Os,Technology,Regional Operating System for Smartphones,Mumbai,Omidyar Network,Private Equity,4000000.0,2017-12-21,2000_2023,2017.0,False
Easyecom,E-Commerce,Ecommerce enabler platform,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,150000.0,2017-12-21,2000_2023,2017.0,False
Igp,E-Commerce,Online Gifting Platform,Uttar Pradesh,Venture Catalysts,Private Equity,,2017-12-21,2000_2023,2017.0,False
Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,10000000.0,2017-12-26,2000_2023,2017.0,False
Garage On Road,E-Commerce,Online vehicle service booking platform,Noida,Gaurav Gupta,Private Equity,,2017-12-27,2000_2023,2017.0,False
Foyr,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,3800000.0,2017-12-27,2000_2023,2017.0,False
Prest Loans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,570000.0,2017-11-02,2000_2023,2017.0,False
Aadharapi,Technology,Aadhaar-based API provider,Pune,CIO Angel Network,Seed Funding,,2017-11-02,2000_2023,2017.0,False
Freshboxx,ECommerce,Online Grocery Store,Bangalore,Jayant Humbarwadi,Seed Funding,,2017-11-02,2000_2023,2017.0,False
Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,1000000.0,2017-11-03,2000_2023,2017.0,False
Halaplay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,,2017-11-03,2000_2023,2017.0,False
Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,500000.0,2017-11-03,2000_2023,2017.0,False
Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,1000000.0,2017-11-04,2000_2023,2017.0,False
Smart Karma,Technology,Financial Technology Research Platform,Bangalore,IDG Ventures India,Private Equity,,2017-11-06,2000_2023,2017.0,False
